m_a_eV,squid_GeVinv
5.031548945038056354e-05,5.012659991623475751e-14
5.089870193519684978e-05,4.971393091900169597e-14
5.148867450137497919e-05,4.930609970952826463e-14
5.208548550577665455e-05,4.890305047222153333e-14
5.268921421350677227e-05,4.850472799459188751e-14
5.329994080844093065e-05,4.811107765951271868e-14
5.391774640387505315e-05,4.772204543756403076e-14
5.454271305329835997e-05,4.733757787946162841e-14
5.517492376129128718e-05,4.695762210857000660e-14
5.581446249454966800e-05,4.658212581349973037e-14
5.646141419303672785e-05,4.621103724078866734e-14
5.711586478126435033e-05,4.584430518766784922e-14
5.777790117970507076e-05,4.548187899491015109e-14
5.844761131633637632e-05,4.512370853976360600e-14
5.912508413831881707e-05,4.476974422896819366e-14
5.981040962380943893e-05,4.441993699185705617e-14
6.050367879391225302e-05,4.407423827354113111e-14
6.120498372476702897e-05,4.373260002817871018e-14
6.191441755977847869e-05,4.339497471232933656e-14
6.263207452198692193e-05,4.306131527839176961e-14
6.335804992658254750e-05,4.273157516812848444e-14
6.409244019356456464e-05,4.240570830627435239e-14
6.483534286054727050e-05,4.208366909423177443e-14
6.558685659571435525e-05,4.176541240385216630e-14
6.634708121092350460e-05,4.145089357130453405e-14
6.711611767496287204e-05,4.114006839103120277e-14
6.789406812696112826e-05,4.083289310979181586e-14
6.868103588995308007e-05,4.052932442079650697e-14
6.947712548460240371e-05,4.022931945792777797e-14
7.028244264308352554e-05,3.993283579005368261e-14
7.109709432312438478e-05,3.963983141543134441e-14
7.192118872221193494e-05,3.935026475620292266e-14
7.275483529196232206e-05,3.906409465298430424e-14
7.359814475265770482e-05,3.878128035954751222e-14
7.445122910795143767e-05,3.850178153759851606e-14
7.531420165974375832e-05,3.822555825165026050e-14
7.618717702322998534e-05,3.795257096399281903e-14
7.707027114212302839e-05,3.768278052976212969e-14
7.796360130405236585e-05,3.741614819210706080e-14
7.886728615614156353e-05,3.715263557745749516e-14
7.978144572076628584e-05,3.689220469089377957e-14
8.070620141149507638e-05,3.663481791161876422e-14
8.164167604921472403e-05,3.638043798853400331e-14
8.258799387844272151e-05,3.612902803592106339e-14
8.354528058382871408e-05,3.588055152922975716e-14
8.451366330684721500e-05,3.563497230097325209e-14
8.549327066268385105e-05,3.539225453673331668e-14
8.648423275731726594e-05,3.515236277127497221e-14
8.748668120479914808e-05,3.491526188477318172e-14
8.850074914473438851e-05,3.468091709915229563e-14
8.952657125996401179e-05,3.444929397453917527e-14
9.056428379445293972e-05,3.422035840583213394e-14
9.161402457138520365e-05,3.399407661938572682e-14
9.267593301146882789e-05,3.377041516981334001e-14
9.375015015145289155e-05,3.354934093690832316e-14
9.483681866285927585e-05,3.333082112268481445e-14
9.593608287093146887e-05,3.311482324853884478e-14
9.704808877380307014e-05,3.290131515253147558e-14
9.817298406188840773e-05,3.269026498679371144e-14
9.931091813749800526e-05,3.248164121505464555e-14
1.004620421346813112e-04,3.227541261029346249e-14
1.016265089392995232e-04,3.207154825251540585e-14
1.028044732093309733e-04,3.187001752665243638e-14
1.039960913954120295e-04,3.167079012058882670e-14
1.052015217616159118e-04,3.147383602331194514e-14
1.064209244064724582e-04,3.127912552318803928e-14
1.076544612842315928e-04,3.108662920636318968e-14
1.089022962263730567e-04,3.089631795528884051e-14
1.101645949633656949e-04,3.070816294737174293e-14
1.114415251466788068e-04,3.052213565374745947e-14
1.127332563710487184e-04,3.033820783817698740e-14
1.140399601970033122e-04,3.015635155606480361e-14
1.153618101736478507e-04,2.997653915359811640e-14
1.166989818617147353e-04,2.979874326700486921e-14
1.180516528568805612e-04,2.962293682192959389e-14
1.194200028133532475e-04,2.944909303292503717e-14
1.208042134677328878e-04,2.927718540305725055e-14
1.222044686631488684e-04,2.910718772362213686e-14
1.236209543736769146e-04,2.893907407397054397e-14
1.250538587290391272e-04,2.877281882143935622e-14
1.265033720395903835e-04,2.860839662138532713e-14
1.279696868215941666e-04,2.844578241731815068e-14
1.294529978227916035e-04,2.828495144112959080e-14
1.309535020482667609e-04,2.812587921341415325e-14
1.324713987866117508e-04,2.796854154387771244e-14
1.340068896363950598e-04,2.781291453182934727e-14
1.355601785329368979e-04,2.765897456675170965e-14
1.371314717753945468e-04,2.750669832894509158e-14
1.387209780541621008e-04,2.735606279023987380e-14
1.403289084785873094e-04,2.720704521477184672e-14
1.419554766050101563e-04,2.705962315981472056e-14
1.436008984651260766e-04,2.691377447666393039e-14
1.452653925946781202e-04,2.676947731156540628e-14
1.469491800624817218e-04,2.662671010668284612e-14
1.486524844997857086e-04,2.648545160109690575e-14
1.503755321299738291e-04,2.634568083182968322e-14
1.521185517986104894e-04,2.620737713488692705e-14
1.538817750038346259e-04,2.607052014631129807e-14
1.556654359271062154e-04,2.593508980323914648e-14
1.574697714643086743e-04,2.580106634495303522e-14
1.592950212572122977e-04,2.566843031392303645e-14
1.611414277253019891e-04,2.553716255682841366e-14
1.630092360979741085e-04,2.540724422555257092e-14
1.648986944471065013e-04,2.527865677814279052e-14
1.668100537200059119e-04,2.515138197972775396e-14
1.687435677727375780e-04,2.502540190338412769e-14
1.706994934038408014e-04,2.490069893094534439e-14
1.726780903884355897e-04,2.477725575374400308e-14
1.746796215127245720e-04,2.465505537328107561e-14
1.767043526088946592e-04,2.453408110181367749e-14
1.787525525904235457e-04,2.441431656285460295e-14
1.808244934877951721e-04,2.429574569157623757e-14
1.829204504846293803e-04,2.417835273511182105e-14
1.850407019542302061e-04,2.406212225274750648e-14
1.871855294965579319e-04,2.394703911599865893e-14
1.893552179756295359e-04,2.383308850856427195e-14
1.915500555573527931e-04,2.372025592615380941e-14
1.937703337477988843e-04,2.360852717618077408e-14
1.960163474319185771e-04,2.349788837731814666e-14
1.982883949127071325e-04,2.338832595891108509e-14
2.005867779508234102e-04,2.327982666024240678e-14
2.029118018046678087e-04,2.317237752964739191e-14
2.052637752709252192e-04,2.306596592347444982e-14
2.076430107255774669e-04,2.296057950488901017e-14
2.100498241653915262e-04,2.285620624251830412e-14
2.124845352498882828e-04,2.275283440893541660e-14
2.149474673437980470e-04,2.265045257898141394e-14
2.174389475600079977e-04,2.254904962792501017e-14
2.199593068030074913e-04,2.244861472945962720e-14
2.225088798128369288e-04,2.234913735353869415e-14
2.250880052095461704e-04,2.225060726404995921e-14
2.276970255381680010e-04,2.215301451633095646e-14
2.303362873142130959e-04,2.205634945452760293e-14
2.330061410696924790e-04,2.196060270879901511e-14
2.357069413996727572e-04,2.186576519237194342e-14
2.384390470093720473e-04,2.177182809844882549e-14
2.412028207618007131e-04,2.167878289697408131e-14
2.439986297259550470e-04,2.158662133126377437e-14
2.468268452255692339e-04,2.149533541450395595e-14
2.496878428884326717e-04,2.140491742612425893e-14
2.525820026962784779e-04,2.131535990805288789e-14
2.555097090352507149e-04,2.122665566086017163e-14
2.584713507469563534e-04,2.113879773979810907e-14
2.614673211801091831e-04,2.105177945074350060e-14
2.644980182427719858e-04,2.096559434605307405e-14
2.675638444552045064e-04,2.088023622033875911e-14
2.706652070033241072e-04,2.079569910617197676e-14
2.738025177927857720e-04,2.071197726972588647e-14
2.769761935036891046e-04,2.062906520636463454e-14
2.801866556459195316e-04,2.054695763618905095e-14
2.834343306151309184e-04,2.046564949954810029e-14
2.867196497493769728e-04,2.038513595252573589e-14
2.900430493863991868e-04,2.030541236241251011e-14
2.934049709215786890e-04,2.022647430317174770e-14
2.968058608665602493e-04,2.014831755090957835e-14
3.002461709085549389e-04,2.007093807935846819e-14
3.037263579703311511e-04,1.999433205538339789e-14
3.072468842709003239e-04,1.991849583452008433e-14
3.108082173869063645e-04,1.984342595655403056e-14
3.144108303147264728e-04,1.976911914114935596e-14
3.180552015332919840e-04,1.969557228353593910e-14
3.217418150676371437e-04,1.962278245026295109e-14
3.254711605531848163e-04,1.955074687502705930e-14
3.292437333007768767e-04,1.947946295458254335e-14
3.330600343624588820e-04,1.940892824474097194e-14
3.369205705980267201e-04,1.933914045646701666e-14
3.408258547423452110e-04,1.927009745207715848e-14
3.447764054734464112e-04,1.920179724154719077e-14
3.487727474814177595e-04,1.913423797893431228e-14
3.528154115380883050e-04,1.906741795891901334e-14
3.569049345675229896e-04,1.900133561347158953e-14
3.610418597173337151e-04,1.893598950864758668e-14
3.652267364308175480e-04,1.887137834151612488e-14
3.694601205199302477e-04,1.880750093722465111e-14
3.737425742391063937e-04,1.874435624620297958e-14
3.780746663599348950e-04,1.868194334150942795e-14
3.824569722466999088e-04,1.862026141632100271e-14
3.868900739327975780e-04,1.855930978156955539e-14
3.913745601980383993e-04,1.849908786372519703e-14
3.959110266468458469e-04,1.843959520272780072e-14
4.005000757873611187e-04,1.838083145006740962e-14
4.051423171114647368e-04,1.832279636701355023e-14
4.098383671757261184e-04,1.826548982299339123e-14
4.145888496832911426e-04,1.820891179411835009e-14
4.193943955667186118e-04,1.815306236185833970e-14
4.242556430717776958e-04,1.809794171186266121e-14
4.291732378422157359e-04,1.804355013292624273e-14
4.341478330055092592e-04,1.798988801609975385e-14
4.391800892596086085e-04,1.793695585394185062e-14
4.442706749606882793e-04,1.788475423991164856e-14
4.494202662119142376e-04,1.783328386789936619e-14
4.546295469532399291e-04,1.778254553189301869e-14
4.598992090522438817e-04,1.773254012577873192e-14
4.652299523960188752e-04,1.768326864327240186e-14
4.706224849841281286e-04,1.763473217798016238e-14
4.760775230226368536e-04,1.758693192358526320e-14
4.815957910192350034e-04,1.753986917415870758e-14
4.871780218794630342e-04,1.749354532459126404e-14
4.928249570040513054e-04,1.744796187114426807e-14
4.985373463873893265e-04,1.740312041211680272e-14
5.043159487171358559e-04,1.735902264862683822e-14
5.101615314749833501e-04,1.731567038550400790e-14
5.160748710385908026e-04,1.727306553229177077e-14
5.220567527846975506e-04,1.723121010435684977e-14
5.281079711934330654e-04,1.719010622410386927e-14
5.342293299538351933e-04,1.714975612229342803e-14
5.404216420705914865e-04,1.711016213946165760e-14
5.466857299720180412e-04,1.707132672743987130e-14
5.530224256192900478e-04,1.703325245097270414e-14
5.594325706169377133e-04,1.699594198943351609e-14
5.659170163246242521e-04,1.695939813863599537e-14
5.724766239702178735e-04,1.692362381274096148e-14
5.791122647641758691e-04,1.688862204625760119e-14
5.858248200152535966e-04,1.685439599613868939e-14
5.926151812475552710e-04,1.682094894396927110e-14
5.994842503189408769e-04,1.678828429824872242e-14
6.064329395408061141e-04,1.675640559676611803e-14
6.134621717992506636e-04,1.672531650906917649e-14
6.205728806776500623e-04,1.669502083902710525e-14
6.277660105806500508e-04,1.666552252748795115e-14
6.350425168595961881e-04,1.663682565503125486e-14
6.424033659394191159e-04,1.660893444481690841e-14
6.498495354469888087e-04,1.658185326553149705e-14
6.573820143409585173e-04,1.655558663443326132e-14
6.650018030431118507e-04,1.653013922049746217e-14
6.727099135712337041e-04,1.650551584766367325e-14
6.805073696735206446e-04,1.648172149818699141e-14
