m_a_eV,SM_Np_D_0.15mm_GeVinv,SM_Eu_D_0.15mm_GeVinv,SM_Np_D_1mm_GeVinv,SM_Eu_D_1mm_GeVinv
4.321511127789761941e-06,3.587201574778892828e-09,2.321954382395498738e-08,3.395703840884494523e-10,2.198000098487627729e-09
4.371602248248501995e-06,3.567803903242975681e-09,2.309398492381465724e-08,3.377887585836123160e-10,2.186467841204318820e-09
4.422273980505897255e-06,3.548524869623329707e-09,2.296919395328145877e-08,3.360184109431901019e-10,2.175008584242169096e-09
4.473533054498463085e-06,3.529363836737575308e-09,2.284516678794703614e-08,3.342592834773086209e-10,2.163621954181248919e-09
4.525386278170166693e-06,3.510320171369565489e-09,2.272189932907598342e-08,3.325113188878996719e-10,2.152307580137742487e-09
4.577840538376616169e-06,3.491393244249153845e-09,2.259938750347490520e-08,3.307744602671350850e-10,2.141065093753814458e-09
4.630902801799736631e-06,3.472582430032206572e-09,2.247762726336305545e-08,3.290486510958903895e-10,2.129894129187662282e-09
4.684580115873045307e-06,3.453887107280212879e-09,2.235661458624031623e-08,3.273338352422190782e-10,2.118794323103643379e-09
4.738879609717650886e-06,3.435306658440869815e-09,2.223634547476155552e-08,3.256299569598505000e-10,2.107765314662549567e-09
4.793808495089106764e-06,3.416840469828220421e-09,2.211681595660804367e-08,3.239369608867074999e-10,2.096806745512013008e-09
4.849374067335233355e-06,3.398487931602920929e-09,2.199802208435975329e-08,3.222547920434392597e-10,2.085918259777010587e-09
4.905583706365045857e-06,3.380248437753033623e-09,2.187995993537100417e-08,3.205833958319808657e-10,2.075099504050538277e-09
4.962444877628913673e-06,3.362121386074545908e-09,2.176262561164438774e-08,3.189227180341218732e-10,2.064350127384345892e-09
5.019965133110079395e-06,3.344106178152468824e-09,2.164601523970840060e-08,3.172727048101083192e-10,2.053669781279889794e-09
5.078152112327670320e-06,3.326202219341373894e-09,2.153012497049147484e-08,3.156333026972487682e-10,2.043058119679308358e-09
5.137013543351338897e-06,3.308408918747021033e-09,2.141495097920305593e-08,3.140044586085517905e-10,2.032514798956602569e-09
5.196557243827657437e-06,3.290725689207153483e-09,2.130048946520929730e-08,3.123861198313796742e-10,2.022039477908922090e-09
5.256791122018419569e-06,3.273151947273352361e-09,2.118673665191557096e-08,3.107782340261202313e-10,2.011631817747968369e-09
5.317723177850966182e-06,3.255687113191969322e-09,2.107368878664311168e-08,3.091807492248815072e-10,2.001291482091544997e-09
5.379361503980697620e-06,3.238330610886441850e-09,2.096134214051446905e-08,3.075936138302045839e-10,1.991018136955225923e-09
5.441714286865887343e-06,3.221081867938415343e-09,2.084969300833139241e-08,3.060167766137972698e-10,1.980811450744158929e-09
5.504789807854967299e-06,3.203940315570287533e-09,2.073873770846177184e-08,3.044501867152875908e-10,1.970671094244998131e-09
5.568596444286408679e-06,3.186905388626695358e-09,2.062847258271985580e-08,3.028937936409977009e-10,1.960596740617964288e-09
5.633142670601352205e-06,3.169976525557287270e-09,2.051889399625469420e-08,3.013475472627419898e-10,1.950588065389070135e-09
5.698437059469136196e-06,3.153153168398411111e-09,2.040999833743165971e-08,2.998113978166396126e-10,1.940644746442428839e-09
5.764488282925873171e-06,3.136434762756023321e-09,2.030178201772177427e-08,2.982852959019516294e-10,1.930766464012732448e-09
5.831305113526218997e-06,3.119820757788194482e-09,2.019424147158848795e-08,2.967691924799366008e-10,1.920952900677837872e-09
5.898896425508492959e-06,3.103310606187585496e-09,2.008737315637425262e-08,2.952630388727333253e-10,1.911203741351540629e-09
5.967271195973310562e-06,3.086903764164579305e-09,1.998117355219132084e-08,2.937667867622538652e-10,1.901518673276406091e-09
6.036438506075863713e-06,3.070599691430071811e-09,1.987563916181038094e-08,2.922803881891103826e-10,1.891897386016825298e-09
6.106407542232036346e-06,3.054397851178537010e-09,1.977076651055090262e-08,2.908037955515519544e-10,1.882339571452130333e-09
6.177187597338488473e-06,3.038297710071461453e-09,1.966655214617394757e-08,2.893369616044309577e-10,1.872844923769907399e-09
6.248788072006888211e-06,3.022298738220465222e-09,1.956299263877287907e-08,2.878798394581884303e-10,1.863413139459426104e-09
6.321218475812448520e-06,3.006400409170913817e-09,1.946008458066731742e-08,2.864323825778591785e-10,1.854043917305200483e-09
6.394488428556936328e-06,2.990602199885446932e-09,1.935782458629648992e-08,2.849945447821018046e-10,1.844736958380712560e-09
6.468607661546320942e-06,2.974903590727835188e-09,1.925620929211476455e-08,2.835662802422492072e-10,1.835491966042261843e-09
6.543586018883229431e-06,2.959304065446655734e-09,1.915523535648596939e-08,2.821475434813843617e-10,1.826308645922988327e-09
6.619433458774387721e-06,2.943803111159438910e-09,1.905489945958077918e-08,2.807382893734329549e-10,1.817186705926994752e-09
6.696160054853215108e-06,2.928400218336625492e-09,1.895519830327287113e-08,2.793384731422824379e-10,1.808125856223647331e-09
6.773775997517744987e-06,2.913094880786043000e-09,1.885612861103845217e-08,2.779480503609259454e-10,1.799125809242032400e-09
6.852291595284057289e-06,2.897886595636866660e-09,1.875768712785241808e-08,2.765669769506224494e-10,1.790186279665522045e-09
6.931717276155400522e-06,2.882774863324540730e-09,1.865987062009077922e-08,2.751952091800879829e-10,1.781306984426536810e-09
7.012063589007177030e-06,2.867759187575040564e-09,1.856267587542876181e-08,2.738327036647035113e-10,1.772487642701420692e-09
7.093341204987989700e-06,2.852839075389683090e-09,1.846609970274251573e-08,2.724794173657510830e-10,1.763727975905494810e-09
7.175560918936921209e-06,2.838014037030100665e-09,1.837013893201182154e-08,2.711353075896698316e-10,1.755027707688242796e-09
7.258733650817246552e-06,2.823283586003078440e-09,1.827479041422197357e-08,2.698003319873405170e-10,1.746386563928679620e-09
7.342870447166757580e-06,2.808647239045596449e-09,1.818005102126695025e-08,2.684744485533882115e-10,1.737804272730837254e-09
7.427982482564909622e-06,2.794104516110213746e-09,1.808591764585478786e-08,2.671576156255161614e-10,1.729280564419453402e-09
7.514081061116962114e-06,2.779654940350135311e-09,1.799238720141095266e-08,2.658497918838587248e-10,1.720815171535783075e-09
