m_a_eV,dipole_cann1_D_0.15mm_GeVinv,dipole_cann1_D_1mm_GeVinv
3.093787571730136731e-06,4.267995932536941030e-09,4.024178876870893232e-10
3.129648010670750519e-06,4.220124308231973892e-09,3.979502617707450473e-10
3.165924111983520818e-06,4.172801319132477366e-09,3.935338649079124497e-10
3.202620693657649979e-06,4.126020680017751622e-09,3.891681105408507186e-10
3.239742629528195378e-06,4.079776177698574353e-09,3.848524188379525278e-10
3.277294849923382168e-06,4.034061670191278300e-09,3.805862166167336776e-10
3.315282342319423268e-06,3.988871085901575452e-09,3.763689372677055946e-10
3.353710152002928776e-06,3.944198422819191670e-09,3.722000206791314678e-10
3.392583382740992040e-06,3.900037747719754026e-09,3.680789131626267293e-10
3.431907197459042598e-06,3.856383195377064223e-09,3.640050673796318998e-10
3.471686818926559579e-06,3.813228967784255112e-09,3.599779422687146836e-10
3.511927530450727740e-06,3.770569333383442349e-09,3.559970029737135123e-10
3.552634676578139464e-06,3.728398626304530460e-09,3.520617207727019623e-10
3.593813663804625307e-06,3.686711245612931367e-09,3.481715730077694440e-10
3.635469961293317292e-06,3.645501654565266032e-09,3.443260430156095817e-10
3.677609101601030474e-06,3.604764379874048454e-09,3.405246200588946734e-10
3.720236681413065301e-06,3.564494010980934710e-09,3.367667992584533945e-10
3.763358362286532808e-06,3.524685199337999369e-09,3.330520815262142122e-10
3.806979871402283974e-06,3.485332657697102145e-09,3.293799734989144596e-10
3.851107002325569028e-06,3.446431159408198859e-09,3.257499874725950237e-10
3.895745615775500812e-06,3.407975537724369511e-09,3.221616413378071846e-10
3.940901640403447568e-06,3.369960685116164969e-09,3.186144585155995380e-10
3.986581073580438997e-06,3.332381552592966067e-09,3.151079678942187227e-10
4.032789982193705460e-06,3.295233149032368436e-09,3.116417037665403412e-10
4.079534503452448557e-06,3.258510540517305186e-09,3.082152057682189079e-10
4.126820845702951947e-06,3.222208849680852034e-09,3.048280188165536701e-10
4.174655289253134888e-06,3.186323255057923258e-09,3.014796930500401614e-10
4.223044187206672164e-06,3.150848990445514495e-09,2.981697837686331827e-10
4.271993966306776970e-06,3.115781344269129952e-09,2.948978513746817637e-10
4.321511127789761941e-06,3.081115658957155108e-09,2.916634613145502189e-10
4.371602248248501995e-06,3.046847330322406027e-09,2.884661840209071007e-10
4.422273980505897255e-06,3.012971806950175348e-09,2.853055948556719676e-10
4.473533054498463085e-06,2.979484589594041374e-09,2.821812740536216217e-10
4.525386278170166693e-06,2.946381230578084904e-09,2.790928066666454256e-10
4.577840538376616169e-06,2.913657333206159441e-09,2.760397825086331011e-10
4.630902801799736631e-06,2.881308551178021208e-09,2.730217961010040073e-10
4.684580115873045307e-06,2.849330588011692380e-09,2.700384466188535985e-10
4.738879609717650886e-06,2.817719196473138668e-09,2.670893378377230073e-10
4.793808495089106764e-06,2.786470178011993997e-09,2.641740780809786741e-10
4.849374067335233355e-06,2.755579382203749607e-09,2.612922801677943186e-10
4.905583706365045857e-06,2.725042706198645800e-09,2.584435613617343751e-10
4.962444877628913673e-06,2.694856094176547091e-09,2.556275433199204355e-10
