m_a_eV,MQM_Np_D_0.15mm_GeVinv,MQM_Eu_D_0.15mm_GeVinv,MQM_Np_D_1mm_GeVinv,MQM_Eu_D_1mm_GeVinv
5.019965133110079395e-06,2.008115005009134834e-09,3.108740687827498353e-09,1.905202901066390690e-10,2.949423594932569399e-10
5.078152112327670320e-06,1.997363788862795760e-09,3.092096848707537667e-09,1.895358393127065131e-10,2.934183420786027787e-10
5.137013543351338897e-06,1.986679022288817220e-09,3.075555879437545645e-09,1.885577285467559157e-10,2.919041395913309856e-10
5.196557243827657437e-06,1.976060352699909254e-09,3.059117234181027777e-09,1.875859261551755245e-10,2.903997030288341622e-10
5.256791122018419569e-06,1.965507429738915842e-09,3.042780370553936703e-09,1.866204007083529857e-10,2.889049837352763936e-10
5.317723177850966182e-06,1.955019905267370031e-09,3.026544749606952350e-09,1.856611209998917195e-10,2.874199334003793090e-10
5.379361503980697620e-06,1.944597433354872111e-09,3.010409835809037169e-09,1.847080560458379715e-10,2.859445040582257206e-10
5.441714286865887343e-06,1.934239670267752275e-09,2.994375097029889975e-09,1.837611750839201165e-10,2.844786480860823383e-10
5.504789807854967299e-06,1.923946274458590241e-09,2.978440004523716668e-09,1.828204475728005518e-10,2.830223182032414585e-10
5.568596444286408679e-06,1.913716906555098363e-09,2.962604032912022808e-09,1.818858431913389886e-10,2.815754674698800753e-10
5.633142670601352205e-06,1.903551229349775661e-09,2.946866660167594846e-09,1.809573318378712290e-10,2.801380492859440137e-10
5.698437059469136196e-06,1.893448907788911704e-09,2.931227367597480472e-09,1.800348836294955667e-10,2.787100173900427132e-10
5.764488282925873171e-06,1.883409608962325427e-09,2.915685639827099715e-09,1.791184689013749576e-10,2.772913258583692398e-10
5.831305113526218997e-06,1.873433002092854979e-09,2.900240964783978850e-09,1.782080582060494768e-10,2.758819291036356529e-10
5.898896425508492959e-06,1.863518758525841364e-09,2.884892833681464039e-09,1.773036223127655794e-10,2.744817818740348939e-10
5.967271195973310562e-06,1.853666551718994023e-09,2.869640741003037987e-09,1.764051322068113308e-10,2.730908392522114629e-10
6.036438506075863713e-06,1.843876057232059977e-09,2.854484184486323508e-09,1.755125590888720335e-10,2.717090566542639427e-10
6.106407542232036346e-06,1.834146952716651362e-09,2.839422665107338146e-09,1.746258743743916695e-10,2.703363898287565176e-10
6.177187597338488473e-06,1.824478917906302097e-09,2.824455687065097856e-09,1.737450496929523854e-10,2.689727948557581518e-10
6.248788072006888211e-06,1.814871634606327897e-09,2.809582757765921673e-09,1.728700568876649119e-10,2.676182281458992413e-10
