m_a_eV,MQM_squid_GeVinv
1.177798701197118017e-05,6.308629026660225596e-14
1.191450698119774729e-05,6.278026485578628821e-14
1.205260936870841401e-05,6.247634375893770528e-14
1.219231251649109383e-05,6.217451719339812654e-14
1.233363497913774693e-05,6.187477545034544143e-14
1.247659552630868525e-05,6.157710889451262145e-14
1.262121314522546164e-05,6.128150796391136652e-14
1.276750704319264449e-05,6.098796316955395885e-14
1.291549665014882683e-05,6.069646509518287933e-14
1.306520162124719865e-05,6.040700439699738204e-14
1.321664183946603801e-05,6.011957180338562228e-14
1.336983741824945150e-05,5.983415811465665847e-14
1.352480870417873994e-05,5.955075420277629105e-14
1.368157627967470456e-05,5.926935101110240905e-14
1.384016096573130180e-05,5.898993955412462819e-14
1.400058382468096031e-05,5.871251091720439589e-14
1.416286616299197323e-05,5.843705625631650995e-14
1.432702953409829647e-05,5.816356679779417133e-14
1.449309574126214897e-05,5.789203383807367090e-14
1.466108684046983036e-05,5.762244874344127239e-14
1.483102514336102853e-05,5.735480294978294780e-14
1.500293322019216613e-05,5.708908796233322938e-14
1.517683390283403825e-05,5.682529535542658588e-14
1.535275028780421074e-05,5.656341677225249074e-14
1.553070573933458561e-05,5.630344392460631872e-14
1.571072389247448757e-05,5.604536859264709619e-14
1.589282865622976477e-05,5.578918262465292269e-14
1.607704421673822041e-05,5.553487793677811539e-14
1.626339504048190734e-05,5.528244651281278321e-14
1.645190587753660725e-05,5.503188040394061492e-14
1.664260176485901990e-05,5.478317172850023934e-14
1.683550802961200778e-05,5.453631267174608050e-14
1.703065029252842484e-05,5.429129548560839882e-14
1.722805447131392224e-05,5.404811248845720077e-14
1.742774678408917511e-05,5.380675606486401558e-14
1.762975375287203833e-05,5.356721866536392421e-14
1.783410220710006182e-05,5.332949280621943758e-14
1.804081928719380908e-05,5.309357106918426738e-14
1.824993244816150412e-05,5.285944610126568335e-14
1.846146946324545750e-05,5.262711061448734379e-14
1.867545842761074234e-05,5.239655738565452426e-14
1.889192776207664550e-05,5.216777925611443008e-14
1.911090621689135813e-05,5.194076913151984099e-14
1.933242287555043403e-05,5.171551998159096980e-14
1.955650715865946999e-05,5.149202483987675310e-14
1.978318882784162123e-05,5.127027680351391417e-14
2.001249798969034841e-05,5.105026903298857560e-14
2.024446509976801623e-05,5.083199475189368132e-14
2.047912096665083489e-05,5.061544724668576875e-14
2.071649675602066959e-05,5.040061986644139378e-14
2.095662399480430758e-05,5.018750602261255234e-14
2.119953457536068761e-05,4.997609918877747606e-14
2.144526075971665420e-05,4.976639290039343486e-14
2.169383518385182289e-05,4.955838075454474949e-14
2.194529086203311546e-05,4.935205640969049492e-14
2.219966119119952429e-05,4.914741358540835402e-14
2.245697995539771554e-05,4.894444606213737316e-14
2.271728133026902697e-05,4.874314768091724058e-14
2.298059988758848710e-05,4.854351234312540635e-14
2.324697059985645546e-05,4.834553401020996141e-14
2.351642884494346329e-05,4.814920670342079385e-14
2.378901041078890856e-05,4.795452450353616965e-14
2.406475150015421866e-05,4.776148155058678287e-14
2.434368873543108034e-05,4.757007204357411966e-14
2.462585916350544169e-05,4.738029024018724459e-14
2.491130026067785879e-05,4.719213045651356636e-14
2.520004993764089510e-05,4.700558706674534371e-14
2.549214654451420375e-05,4.682065450288145175e-14
2.578762887593798400e-05,4.663732725442574059e-14
2.608653617622545218e-05,4.645559986807731582e-14
2.638890814457507585e-05,4.627546694741756906e-14
2.669478494034318111e-05,4.609692315259117522e-14
2.700420718837769874e-05,4.591996319997992687e-14
2.731721598441373358e-05,4.574458186187189866e-14
2.763385290053166867e-05,4.557077396612323422e-14
2.795415999067853594e-05,4.539853439581236633e-14
2.827817979625338199e-05,4.522785808888952919e-14
2.860595535175739117e-05,4.505874003781615433e-14
2.893753019050947418e-05,4.489117528919864348e-14
2.927294835042812854e-05,4.472515894341284558e-14
2.961225437988031288e-05,4.456068615422132666e-14
2.995549334359810082e-05,4.439775212838102203e-14
3.030271082866393438e-05,4.423635212524288619e-14
3.065395295056523920e-05,4.407648145634209538e-14
3.100926635931923166e-05,4.391813548497757207e-14
3.136869824566873116e-05,4.376130962578379760e-14
3.173229634734972955e-05,4.360599934429047631e-14
3.210010895543168686e-05,4.345220015647203288e-14
3.247218492073125124e-05,4.329990762828738455e-14
3.284857366030040257e-05,4.314911737520634690e-14
3.322932516398968385e-05,4.299982506172654804e-14
3.361449000108761818e-05,4.285202640087660406e-14
3.400411932703702948e-05,4.270571715370777700e-14
3.439826489022920894e-05,4.256089312877297958e-14
3.479697903887688269e-05,4.241755018159228096e-14
3.520031472796675308e-05,4.227568421410465462e-14
3.560832552629274530e-05,4.213529117410675758e-14
3.602106562357066397e-05,4.199636705467602057e-14
3.643858983763540501e-05,4.185890789358068738e-14
3.686095362172154264e-05,4.172290977267381822e-14
3.728821307182830118e-05,4.158836881727150326e-14
3.772042493416993489e-05,4.145528119551616351e-14
3.815764661271244413e-05,4.132364311772310261e-14
3.859993617679763090e-05,4.119345083571046736e-14
3.904735236885555739e-05,4.106470064211225077e-14
3.949995461220639028e-05,4.093738886967349855e-14
3.995780301895265397e-05,4.081151189052843825e-14
4.042095839796309883e-05,4.068706611545986509e-14
4.088948226294864539e-05,4.056404799314000530e-14
4.136343684063277602e-05,4.044245400935249108e-14
4.184288507901584570e-05,4.032228068619510614e-14
4.232789065573552758e-05,4.020352458126271517e-14
4.281851798652415236e-05,4.008618228681013097e-14
4.331483223376403243e-05,3.997025042889463521e-14
4.381689931514194311e-05,3.985572566649762922e-14
4.432478591240400772e-05,3.974260469062539561e-14
4.483855948021190816e-05,3.963088422338827672e-14
4.535828825510191179e-05,3.952056101705832665e-14
4.588404126454761567e-05,3.941163185310483098e-14
4.641588833612781789e-05,3.930409354120744175e-14
4.695390010680062706e-05,3.919794291824725595e-14
4.749814803228504342e-05,3.909317684727446794e-14
4.804870439655133953e-05,3.898979221645349204e-14
4.860564232142138599e-05,3.888778593798498726e-14
4.916903577628031102e-05,3.878715494700407103e-14
4.973895958790067998e-05,3.868789620045534677e-14
5.031548945038056354e-05,3.859000667594438552e-14
5.089870193519684978e-05,3.849348337056538397e-14
5.148867450137497919e-05,3.839832329970477169e-14
5.208548550577665455e-05,3.830452349582188462e-14
5.268921421350677227e-05,3.821208100720480519e-14
5.329994080844093065e-05,3.812099289670345173e-14
5.391774640387505315e-05,3.803125624043836460e-14
5.454271305329835997e-05,3.794286812648653968e-14
5.517492376129128718e-05,3.785582565354367802e-14
5.581446249454966800e-05,3.777012592956342605e-14
5.646141419303672785e-05,3.768576607037385236e-14
5.711586478126435033e-05,3.760274319827195635e-14
5.777790117970507076e-05,3.752105444059540082e-14
5.844761131633637632e-05,3.744069692827330508e-14
5.912508413831881707e-05,3.736166779435570726e-14
5.981040962380943893e-05,3.728396417252290747e-14
6.050367879391225302e-05,3.720758319557455939e-14
6.120498372476702897e-05,3.713252199390023302e-14
6.191441755977847869e-05,3.705877769393165699e-14
6.263207452198692193e-05,3.698634741657691170e-14
6.335804992658254750e-05,3.691522827563965303e-14
6.409244019356456464e-05,3.684541737622173211e-14
6.483534286054727050e-05,3.677691181311229090e-14
6.558685659571435525e-05,3.670970866916371212e-14
6.634708121092350460e-05,3.664380501365631059e-14
6.711611767496287204e-05,3.657919790065242233e-14
6.789406812696112826e-05,3.651588436734211901e-14
6.868103588995308007e-05,3.645386143238213828e-14
6.947712548460240371e-05,3.639312609422893234e-14
7.028244264308352554e-05,3.633367532946922995e-14
7.109709432312438478e-05,3.627550609114847179e-14
7.192118872221193494e-05,3.621861530710033751e-14
7.275483529196232206e-05,3.616299987827899910e-14
7.359814475265770482e-05,3.610865667709658710e-14
7.445122910795143767e-05,3.605558254576872206e-14
7.531420165974375832e-05,3.600377429466978373e-14
7.618717702322998534e-05,3.595322870070135740e-14
7.707027114212302839e-05,3.590394250567697494e-14
7.796360130405236585e-05,3.585591241472482920e-14
7.886728615614156353e-05,3.580913509471313194e-14
7.978144572076628584e-05,3.576360717270034924e-14
8.070620141149507638e-05,3.571932523441392429e-14
8.164167604921472403e-05,3.567628582276112254e-14
8.258799387844272151e-05,3.563448543637552707e-14
8.354528058382871408e-05,3.559392052820336836e-14
8.451366330684721500e-05,3.555458750413242085e-14
8.549327066268385105e-05,3.551648272166937988e-14
8.648423275731726594e-05,3.547960248866799697e-14
8.748668120479914808e-05,3.544394306211357143e-14
8.850074914473438851e-05,3.540950064696776135e-14
8.952657125996401179e-05,3.537627139507792348e-14
9.056428379445293972e-05,3.534425140415651021e-14
9.161402457138520365e-05,3.531343671683431024e-14
9.267593301146882789e-05,3.528382331979307399e-14
9.375015015145289155e-05,3.525540714298229459e-14
9.483681866285927585e-05,3.522818405892516174e-14
9.593608287093146887e-05,3.520214988211859199e-14
9.704808877380307014e-05,3.517730036853336857e-14
9.817298406188840773e-05,3.515363121521851825e-14
9.931091813749800526e-05,3.513113806001612226e-14
1.004620421346813112e-04,3.510981648139176173e-14
1.016265089392995232e-04,3.508966199838566514e-14
1.028044732093309733e-04,3.507067007069030059e-14
1.039960913954120295e-04,3.505283609885970172e-14
1.052015217616159118e-04,3.503615542465602999e-14
1.064209244064724582e-04,3.502062333153866223e-14
1.076544612842315928e-04,3.500623504530122411e-14
1.089022962263730567e-04,3.499298573486169439e-14
1.101645949633656949e-04,3.498087051321098800e-14
